filename	pos	whm.	whm..1	delta	height	height_norm	avg	bgr	sig_to_noise
CHD2_L1HS-flat80-peaklist.text	429	331	635	304	4.62444851351	4.53206131828	2.74845140825	0.361494900484	7.47460766001
CHD7_L1HS-flat80-peaklist.text	588	526	660	134	1.38473684818	1.0664720431	0.977580917549	0.471677581507	1.34412533621
CTCF_L1HS-flat80-peaklist.text	553	453	662	209	1.95704527311	1.5649588023	1.13285317012	0.222988836725	2.11060475851
EGR1_L1HS-flat80-peaklist.text	380	280	499	219	4.32228373478	4.03305639731	2.43194512138	-0.214482970733	5.23558613909
EP300_L1HS-flat80-peaklist.text	457	341	609	268	3.46345811075	3.12735759042	2.19215976703	-0.221708231602	4.24469846761
GABPA_L1HS-flat80-peaklist.text	427	326	580	254	2.88593155298	2.58257578164	1.73554754188	0.138198278051	2.38205223574
GTF2F1_L1HS-flat80-peaklist.text	427	372	510	138	2.61264285887	2.5077787618	2.19886720771	1.21271800808	2.86565525765
GTF2F1_L1HS-flat80-peaklist.text	607	556	634	78	1.88061873523	1.77575463816	1.52342795877	0.760368745644	1.70033855629
HDAC2_L1HS-flat80-peaklist.text	402	367	437	70	1.80266149625	1.4701647244	1.54336863122	0.976377332399	1.35816767986
HDAC2_L1HS-flat80-peaklist.text	5693	5620	5731	111	2.71728390198	2.38478713013	1.90498661027	0.585496444141	4.21364786446
HDAC2_L1HS-flat80-peaklist.text	5813	5763	5862	99	2.0111701792	1.67867340735	1.51902872789	0.550481066792	2.55031182699
JUND_L1HS-flat80-peaklist.text	206	167	291	124	1.51783034715	1.37249979298	1.08400348321	0.405548028226	1.57281504749
JUND_L1HS-flat80-peaklist.text	416	362	515	153	3.48101601477	3.3356854606	2.62209675392	0.825298754404	3.4853186291
KDM1A_L1HS-flat80-peaklist.text	225	169	331	162	1.64687191408	1.06481622688	1.23676864237	0.393399396586	3.04397756587
KDM1A_L1HS-flat80-peaklist.text	4637	4595	4690	95	2.13533415852	1.55327847132	1.6133431938	0.573855058618	4.14906401383
KDM1A_L1HS-flat80-peaklist.text	5386	5341	5438	97	1.76189511967	1.17983943247	1.40875282101	0.620390850377	2.6676123627
